sa2_code,sa2_name,centroid_lat,centroid_lon
110041205,Tamworth Surrounds,-30.875567184226774,150.87823209750442
111011206,Belmont - Bennetts Green,-33.01894034098339,151.6783784300188
111011207,Belmont South - Blacksmiths,-33.064053797675996,151.6538690681698
111011208,Charlestown - Dudley,-32.97579834192457,151.7080064957619
111011209,Glendale - Cardiff - Hillsborough,-32.942297236577026,151.659846516374
111011210,Mount Hutton - Windale,-32.99017943964813,151.6721131360569
111011211,Redhead,-33.00903126201188,151.70971523740255
111011212,Swansea - Caves Beach,-33.130171261495754,151.6264039323634
111011213,Valentine - Eleebana,-33.00480630909863,151.64525867386524
111011214,Warners Bay - Boolaroo,-32.96326944316562,151.6410419491108
111021215,Bolton Point - Teralba,-32.96267522892741,151.60099235429922
111021216,Bonnells Bay - Silverwater,-33.10943900410217,151.5405740288272
111021217,Edgeworth - Cameron Park,-32.91374571849924,151.61474060477013
111021218,Morisset - Cooranbong,-33.082681968047865,151.4534356977377
111021219,Toronto - Awaba,-33.01627688525747,151.55892186181225
111021220,Wangi Wangi - Rathmines,-33.0552360765636,151.5812833668831
111021221,West Wallsend - Barnsley - Killingworth,-32.92943770088403,151.55807399620167
111031222,Adamstown - Kotara,-32.94418502124383,151.71174578349044
111031223,Beresfield - Hexham,-32.827392457804805,151.66017901781188
111031224,Hamilton - Broadmeadow,-32.92432511254131,151.74076018012877
111031225,Lambton - New Lambton,-32.92404815355769,151.70453481362864
111031226,Maryland - Fletcher - Minmi,-32.87547736538969,151.63803220426377
111031227,Mayfield - Warabrook,-32.891600983972964,151.7303208275804
111031228,Merewether - The Junction,-32.94726497192937,151.74343842024274
111031229,Newcastle - Cooks Hill,-32.93103424815917,151.7742223565405
111031230,Newcastle Port - Kooragang,-32.86948085712303,151.74447323368292
111031231,Shortland - Jesmond,-32.881859888092286,151.69590493847429
111031232,Stockton - Fullerton Cove,-32.85392127756997,151.82541978540297
111031233,Wallsend - Elermore Vale,-32.90329519462483,151.65604756603724
111031234,Waratah - North Lambton,-32.90402918934865,151.71754053899787
111031235,Wickham - Carrington - Tighes Hill,-32.91281133946536,151.75507803107783
112011236,Ballina,-28.847249960423834,153.5547866875987
