store_name,latitude,longitude,sa2_code,sa2_name,sa3_name,sa4_name,state
Manor Lakes,-37.8722404,144.6107093,213051590,Wyndham Vale - South,Wyndham,Melbourne - West,Victoria
Maribyrnong,-37.7760475,144.8837459,213031347,Braybrook,Maribyrnong,Melbourne - West,Victoria
Melton East,-37.6871,144.5828,213041577,Melton,Melton - Bacchus Marsh,Melbourne - West,Victoria
Mentone,-37.9768027,145.0696103,208031190,Mentone,Kingston,Melbourne - Inner South,Victoria
Mernda,-37.6044904,145.0932464,209041532,Mernda - South,Whittlesea - Wallan,Melbourne - North East,Victoria
Mildura,-34.2176471,142.1511405,215021470,Mildura - South,Mildura,North West,Victoria
Mill Park,-37.6544737,145.0803259,209041220,Mill Park - North,Whittlesea - Wallan,Melbourne - North East,Victoria
Moorabbin,-37.9455852,145.0797236,208031191,Moorabbin - Heatherton,Kingston,Melbourne - Inner South,Victoria
Mornington,-38.2195561,145.0593715,214021591,Mornington - East,Mornington Peninsula,Mornington Peninsula,Victoria
Morwell,-38.2367709,146.427375,205041096,Morwell,Latrobe Valley,Latrobe - Gippsland,Victoria
Narre Warren,-38.0248869,145.3098332,212021456,Narre Warren - South West,Casey - North,Melbourne - South East,Victoria
Notting Hill,-37.9002496,145.1269707,212051567,Clayton (North) - Notting Hill,Monash,Melbourne - South East,Victoria
Nunawading,-37.8196599,145.1668266,211041271,Nunawading,Whitehorse - East,Melbourne - Outer East,Victoria
Oakleigh,-37.9220542,145.0851083,212051326,Oakleigh - Huntingdale,Monash,Melbourne - South East,Victoria
Pakenham,-38.0614592,145.4574309,212011550,Pakenham - North West,Cardinia,Melbourne - South East,Victoria
Portland,-38.3259722,141.5982248,217011422,Portland,Glenelg - Southern Grampians,Warrnambool and South West,Victoria
Port Melbourne,-37.8314656,144.93911,206051511,Port Melbourne Industrial,Port Phillip,Melbourne - Inner,Victoria
Preston,-37.7474321,145.0310068,209021428,Preston - East,Darebin - North,Melbourne - North East,Victoria
Ringwood,-37.8154898,145.2229003,211031266,Ringwood,Maroondah,Melbourne - Outer East,Victoria
